time,signal
1766690061.171635,83
1766690061.4051206,83
1766690061.642268,83
1766690061.8826966,83
1766690062.104572,83
1766690062.3406348,83
1766690062.5552676,83
1766690062.7829762,83
1766690063.0456717,83
1766690063.274495,83
1766690063.5238292,83
1766690063.7877417,83
1766690064.0217874,83
1766690064.2754765,83
1766690064.5327876,83
1766690064.7456036,83
1766690064.9759996,83
1766690065.2255728,83
1766690065.456472,83
1766690065.6890433,83
1766690065.903705,83
1766690066.125535,83
1766690066.3372138,83
1766690066.5455818,83
1766690066.7884119,83
1766690067.0442455,83
1766690067.2748463,83
1766690067.5000947,83
1766690067.7405422,83
1766690067.9963737,83
1766690068.265603,83
1766690068.4891822,83
1766690068.7391696,83
1766690068.9750109,83
1766690069.2354882,83
1766690069.4597914,83
1766690069.849938,83
1766690070.0946116,83
1766690070.3023994,83
1766690070.5458016,83
1766690070.807491,83
1766690071.051802,83
1766690071.2804532,83
1766690071.5184953,83
1766690071.751505,83
1766690071.9926865,83
1766690072.2414048,83
1766690072.4801526,83
1766690072.7338157,83
1766690072.9653723,83
1766690073.2017088,83
1766690073.4334283,83
1766690073.6643128,83
1766690073.8997037,83
1766690074.131238,83
1766690074.3574362,83
1766690074.5912585,83
1766690074.8494651,83
1766690075.0860212,83
1766690075.3472676,83
1766690075.577175,83
1766690075.7987523,83
1766690076.0115016,83
1766690076.2414894,83
1766690076.4488397,83
1766690076.672016,83
1766690076.8975017,83
1766690077.1125107,83
1766690077.3415675,83
1766690077.5828793,83
1766690077.8038383,83
1766690078.0319266,83
1766690078.2635756,83
1766690078.4956844,83
1766690078.716297,83
1766690078.995216,83
1766690079.21884,83
1766690079.4539464,83
1766690079.701682,83
1766690079.9293077,83
1766690080.16628,83
1766690080.4030116,83
1766690080.6332405,83
1766690080.856931,83
1766690081.095848,83
1766690081.3361,83
1766690081.594972,83
1766690081.8252888,83
1766690082.1176143,83
1766690082.349995,83
1766690082.588077,83
1766690082.821915,83
1766690083.0586717,82
1766690083.2713563,82
1766690083.5089507,82
1766690083.7335415,82
1766690083.9742277,82
1766690084.1981235,82
1766690084.420542,82
1766690084.6517346,82
1766690084.8674774,82
1766690085.1027763,82
1766690085.327631,82
1766690085.5725143,82
1766690085.814645,82
1766690086.0460324,82
1766690086.284993,82
1766690086.5258422,82
